Product_Name,Category,Flavor,Order_Status,Sales_Channel,Container_Size_Lbs,Servings_Per_Container,Price_Per_Unit_PHP,Units_Sold,Total_Price_PHP,Order_Date,Shipment_Date
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Returned,Online Store,5,75,3027,2623,7939821,5/29/2025,06/03/2025
Plant Power Vegan,Protein Powder,Unflavored,Cancelled,Marketplace,2,30,1367,54,73818,11/8/2025,11/15/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Cancelled,Retail Store,6,16,1919,2972,5703268,9/1/2025,09/11/2025
Creatine Drive,Creatine,Unflavored,Shipped,Retail Store,1.1,100,1376,3667,5045792,4/3/2025,04/07/2025
Creatine Drive,Creatine,Blue Raspberry,Delivered,Online Store,1.1,100,1671,2138,3572598,5/4/2026,05/06/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Returned,Retail Store,0.66,30,1470,1493,2194710,12/16/2026,12/22/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Processing,Gym Partner,6,16,2245,4916,11036420,7/9/2026,07/13/2026
Plant Power Vegan,Protein Powder,Milk Chocolate,Delivered,Online Store,2,30,1674,2641,4421034,5/30/2025,06/05/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Gym Partner,12,32,4085,4063,16597355,1/21/2025,01/30/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Delivered,Online Store,1,45,1885,3611,6806735,4/15/2026,04/20/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Shipped,Online Store,0.66,30,1356,4771,6469476,8/18/2025,08/25/2025
Creatine Drive,Creatine,Unflavored,Shipped,Marketplace,0.66,60,750,1902,1426500,11/19/2025,11/26/2025
Creatine Drive,Creatine,Blue Raspberry,Cancelled,Retail Store,0.66,60,733,3066,2247378,2/4/2025,02/10/2025
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Shipped,Marketplace,2,30,1250,1712,2140000,5/15/2025,05/19/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Retail Store,12,32,3737,75,280275,5/30/2026,06/02/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Delivered,Marketplace,2,30,1388,750,1041000,4/23/2025,04/30/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Delivered,Retail Store,12,32,3388,4868,16492784,6/24/2026,06/26/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Cancelled,Retail Store,2,30,1207,3533,4264331,12/19/2026,12/21/2026
Plant Power Vegan,Protein Powder,Milk Chocolate,Cancelled,Gym Partner,2,30,1393,1778,2476754,9/11/2026,09/16/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Gym Partner,6,16,2248,1592,3578816,8/13/2026,08/20/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Cancelled,Online Store,0.66,30,1322,1923,2542206,5/26/2026,06/02/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Shipped,Retail Store,1.33,60,1962,504,988848,7/2/2026,07/05/2026
Plant Power Vegan,Protein Powder,Unflavored,Shipped,Marketplace,5,75,3726,3568,13294368,7/16/2026,07/20/2026
Pre-Workout Ignition,Pre-Workout,Sour Apple,Shipped,Marketplace,1,45,2110,1922,4055420,6/6/2026,06/16/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Online Store,12,32,3548,1355,4807540,11/22/2025,11/24/2025
Creatine Drive,Creatine,Unflavored,Returned,Gym Partner,1.1,100,1760,1659,2919840,8/13/2026,08/21/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Processing,Retail Store,5,75,3171,2003,6351513,9/17/2025,09/24/2025
Creatine Drive,Creatine,Unflavored,Processing,Marketplace,1.1,100,1425,997,1420725,8/27/2025,09/06/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Delivered,Marketplace,6,16,1836,3877,7118172,3/15/2025,03/24/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Returned,Marketplace,12,32,3595,1842,6621990,3/11/2026,03/21/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Online Store,1,45,2023,1900,3843700,9/3/2025,09/07/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Returned,Retail Store,1.1,100,1210,2065,2498650,8/10/2026,08/14/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Delivered,Gym Partner,12,32,3663,4711,17256393,5/20/2026,05/27/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Processing,Online Store,12,32,3976,3836,15251936,5/19/2025,05/23/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Shipped,Retail Store,5,75,2890,748,2161720,3/7/2026,03/10/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Shipped,Retail Store,12,32,4004,4770,19099080,9/22/2026,09/28/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Delivered,Retail Store,1,45,2185,3398,7424630,10/28/2025,11/06/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Processing,Marketplace,1.33,60,2378,2139,5086542,11/16/2026,11/22/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Delivered,Retail Store,5,75,3779,1401,5294379,9/28/2025,10/07/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Marketplace,1,45,1827,1378,2517606,7/6/2025,07/14/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Cancelled,Retail Store,6,16,1852,1914,3544728,4/23/2026,05/03/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Processing,Gym Partner,0.66,60,718,4846,3479428,8/6/2025,08/11/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Processing,Online Store,2,30,1314,1681,2208834,10/22/2025,10/30/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Shipped,Gym Partner,0.66,30,1471,1013,1490123,7/11/2026,07/18/2026
Whey Isolate Elite,Protein Powder,Cookies & Cream,Cancelled,Online Store,2,30,1618,2475,4004550,4/27/2025,04/29/2025
Creatine Drive,Creatine,Blue Raspberry,Shipped,Online Store,0.66,60,618,1024,632832,1/5/2026,01/11/2026
Plant Power Vegan,Protein Powder,Cookies & Cream,Returned,Marketplace,2,30,1499,1521,2279979,12/24/2025,01/03/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Shipped,Gym Partner,1.1,100,1248,2232,2785536,6/8/2025,06/16/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Processing,Marketplace,2.2,200,1407,3664,5155248,5/25/2025,05/31/2025
Creatine Drive,Creatine,Fruit Punch,Processing,Gym Partner,1.1,100,1446,2084,3013464,4/12/2025,04/16/2025
Creatine Drive,Creatine,Blue Raspberry,Processing,Retail Store,2.2,200,1511,2734,4131074,3/22/2026,03/30/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Processing,Gym Partner,6,16,1935,1006,1946610,7/5/2026,07/15/2026
Creatine Drive,Creatine,Fruit Punch,Processing,Gym Partner,0.66,60,877,4653,4080681,7/28/2026,08/02/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Online Store,1,45,2333,1324,3088892,3/8/2025,03/18/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Delivered,Retail Store,2,30,1585,1754,2780090,4/11/2026,04/18/2026
Max Pre-Workout,Pre-Workout,Watermelon,Processing,Online Store,1,45,1949,4795,9345455,11/2/2025,11/07/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Returned,Retail Store,0.66,30,1452,4386,6368472,5/7/2026,05/17/2026
Creatine Drive,Creatine,Blue Raspberry,Cancelled,Retail Store,0.66,60,830,3805,3158150,1/2/2025,01/10/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Delivered,Gym Partner,0.66,30,1359,2373,3224907,8/18/2026,08/20/2026
Creatine Drive,Creatine,Blue Raspberry,Processing,Retail Store,0.66,60,759,3611,2740749,2/24/2025,03/03/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Marketplace,5,75,2859,3734,10675506,2/8/2026,02/13/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Delivered,Online Store,6,16,2276,4986,11348136,8/16/2026,08/26/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Returned,Marketplace,12,32,3790,743,2815970,6/2/2026,06/06/2026
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Processing,Retail Store,5,75,3608,3024,10910592,6/13/2025,06/17/2025
Whey Isolate Elite,Protein Powder,Unflavored,Shipped,Online Store,5,75,3658,1768,6467344,11/21/2026,11/23/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Delivered,Retail Store,5,75,3124,1829,5713796,5/29/2025,05/31/2025
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Returned,Marketplace,2,30,1355,1097,1486435,4/27/2026,05/05/2026
Max Pre-Workout,Pre-Workout,Watermelon,Returned,Marketplace,1,45,2195,1286,2822770,5/9/2025,05/13/2025
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Returned,Retail Store,5,75,3431,4875,16726125,11/10/2025,11/17/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Returned,Marketplace,12,32,3964,4042,16022488,2/3/2026,02/13/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Delivered,Marketplace,1.33,60,1929,4395,8477955,4/29/2026,05/09/2026
Plant Power Vegan,Protein Powder,Unflavored,Returned,Gym Partner,5,75,3189,1661,5296929,2/14/2026,02/17/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Online Store,6,16,2374,2850,6765900,2/18/2026,02/24/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Cancelled,Retail Store,12,32,3565,1790,6381350,3/10/2025,03/20/2025
Plant Power Vegan,Protein Powder,Unflavored,Cancelled,Retail Store,5,75,3749,2397,8986353,11/15/2025,11/25/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Cancelled,Online Store,2,30,1748,206,360088,6/26/2026,06/29/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Returned,Online Store,12,32,3366,4121,13871286,12/31/2025,01/07/2026
Creatine Drive,Creatine,Fruit Punch,Shipped,Marketplace,1.1,100,1678,814,1365892,6/8/2026,06/15/2026
Creatine Drive,Creatine,Fruit Punch,Shipped,Online Store,1.1,100,1570,1077,1690890,10/8/2026,10/15/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Delivered,Marketplace,12,32,3745,2031,7606095,8/25/2026,08/31/2026
Plant Power Vegan,Protein Powder,Cookies & Cream,Cancelled,Gym Partner,5,75,3130,4316,13509080,8/9/2026,08/17/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Shipped,Retail Store,5,75,3752,2713,10179176,2/18/2025,02/20/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Delivered,Online Store,2,30,1277,3531,4509087,6/15/2026,06/22/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Cancelled,Gym Partner,12,32,3651,1022,3731322,7/2/2026,07/10/2026
Creatine Drive,Creatine,Unflavored,Returned,Retail Store,2.2,200,1690,2802,4735380,1/31/2026,02/03/2026
Max Pre-Workout,Pre-Workout,Watermelon,Delivered,Marketplace,1.33,60,2170,4970,10784900,10/1/2025,10/09/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Retail Store,1.33,60,2029,4073,8264117,10/14/2026,10/19/2026
Plant Power Vegan,Protein Powder,Unflavored,Processing,Marketplace,5,75,3637,1837,6681169,5/11/2025,05/15/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Cancelled,Online Store,2,30,1207,1540,1858780,2/23/2026,02/27/2026
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Returned,Marketplace,5,75,3418,221,755378,5/5/2025,05/14/2025
Plant Power Vegan,Protein Powder,Unflavored,Cancelled,Gym Partner,2,30,1715,1703,2920645,6/14/2026,06/23/2026
Plant Power Vegan,Protein Powder,Cookies & Cream,Cancelled,Gym Partner,5,75,3198,436,1394328,12/28/2025,01/07/2026
Whey Isolate Elite,Protein Powder,Unflavored,Delivered,Online Store,2,30,1601,4109,6578509,4/2/2025,04/06/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Shipped,Gym Partner,5,75,3661,1773,6490953,3/1/2025,03/08/2025
Creatine Drive,Creatine,Unflavored,Returned,Gym Partner,0.66,60,737,4884,3599508,1/18/2025,01/23/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Shipped,Online Store,2,30,1373,4085,5608705,12/17/2025,12/23/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Gym Partner,1,45,2174,4948,10756952,2/6/2025,02/16/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Delivered,Online Store,1,45,2258,2957,6676906,9/26/2026,10/03/2026
Pre-Workout Ignition,Pre-Workout,Sour Apple,Delivered,Marketplace,0.66,30,1427,3426,4888902,5/4/2025,05/08/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Cancelled,Retail Store,2.2,200,1222,4003,4891666,5/16/2025,05/22/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Cancelled,Marketplace,2,30,1258,2022,2543676,4/10/2026,04/20/2026
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Online Store,0.66,30,1491,4802,7159782,5/9/2026,05/13/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Shipped,Gym Partner,1.33,60,1916,4767,9133572,6/25/2025,06/29/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Shipped,Retail Store,6,16,1926,3622,6975972,8/10/2025,08/13/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Delivered,Online Store,0.66,60,785,3279,2574015,1/10/2025,01/15/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Shipped,Gym Partner,0.66,60,796,1697,1350812,6/19/2026,06/25/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Processing,Retail Store,2,30,1795,3364,6038380,1/18/2025,01/20/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Shipped,Marketplace,12,32,3814,4546,17338444,1/9/2025,01/15/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Returned,Marketplace,5,75,2905,3095,8990975,9/22/2026,10/01/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Cancelled,Retail Store,5,75,3295,2432,8013440,3/4/2026,03/06/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Processing,Marketplace,5,75,2873,185,531505,4/2/2025,04/09/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Cancelled,Retail Store,2.2,200,1439,4011,5771829,7/29/2025,07/31/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Processing,Online Store,5,75,3721,1258,4681018,5/7/2025,05/10/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Delivered,Gym Partner,6,16,2273,235,534155,3/3/2025,03/07/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Returned,Gym Partner,1.1,100,1731,2278,3943218,8/24/2025,08/26/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Shipped,Marketplace,2,30,1770,2722,4817940,1/26/2025,01/29/2025
Whey Isolate Elite,Protein Powder,Milk Chocolate,Processing,Retail Store,2,30,1321,4248,5611608,3/4/2026,03/14/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Processing,Retail Store,1.33,60,2008,901,1809208,11/16/2025,11/18/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Processing,Gym Partner,5,75,3235,4028,13030580,12/12/2025,12/20/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Shipped,Retail Store,2,30,1635,4664,7625640,11/25/2025,12/05/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Delivered,Gym Partner,2,30,1238,3857,4774966,2/1/2025,02/05/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Shipped,Online Store,6,16,2023,2980,6028540,3/17/2025,03/25/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Shipped,Online Store,0.66,60,769,1605,1234245,5/15/2026,05/19/2026
Creatine Monohydrate Pure,Creatine,Fruit Punch,Returned,Gym Partner,0.66,60,726,1812,1315512,9/8/2025,09/13/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Returned,Online Store,6,16,2064,2350,4850400,1/7/2025,01/17/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Gym Partner,0.66,30,1154,3949,4557146,11/21/2025,12/01/2025
Whey Isolate Elite,Protein Powder,Milk Chocolate,Cancelled,Marketplace,5,75,2857,3488,9965216,9/8/2025,09/15/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Cancelled,Gym Partner,0.66,30,1129,1339,1511731,9/4/2025,09/14/2025
Whey Isolate Elite,Protein Powder,Unflavored,Shipped,Marketplace,5,75,3164,2455,7767620,8/13/2026,08/21/2026
Pre-Workout Ignition,Pre-Workout,Sour Apple,Returned,Gym Partner,1.33,60,2276,2451,5578476,5/12/2025,05/16/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Gym Partner,1,45,2105,4315,9083075,9/24/2026,09/29/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Delivered,Online Store,1.1,100,1426,1981,2824906,9/4/2025,09/14/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Cancelled,Retail Store,12,32,3600,1123,4042800,6/10/2026,06/16/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Shipped,Online Store,6,16,1840,2299,4230160,7/14/2026,07/23/2026
Pre-Workout Ignition,Pre-Workout,Watermelon,Shipped,Marketplace,1.33,60,2220,1692,3756240,2/6/2025,02/14/2025
Creatine Drive,Creatine,Unflavored,Returned,Marketplace,0.66,60,747,3491,2607777,1/26/2025,01/29/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Cancelled,Gym Partner,0.66,30,1358,2501,3396358,7/23/2025,07/26/2025
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Cancelled,Online Store,2,30,1445,1240,1791800,9/1/2025,09/11/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Processing,Gym Partner,6,16,1915,1568,3002720,10/14/2026,10/23/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Processing,Marketplace,1.33,60,1804,4923,8881092,4/20/2025,04/22/2025
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Cancelled,Gym Partner,5,75,3616,474,1713984,3/7/2026,03/11/2026
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Processing,Marketplace,2,30,1396,4174,5826904,7/29/2025,08/02/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Returned,Gym Partner,1.1,100,1312,3923,5146976,4/22/2025,05/01/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Marketplace,1.33,60,2003,457,915371,7/20/2026,07/24/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Cancelled,Retail Store,0.66,60,686,3345,2294670,11/17/2025,11/27/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Returned,Gym Partner,1.33,60,2132,2977,6346964,9/24/2025,09/27/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Cancelled,Online Store,1,45,2173,942,2046966,11/7/2025,11/14/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Returned,Gym Partner,1.1,100,1544,4826,7451344,12/1/2026,12/05/2026
Plant Power Vegan,Protein Powder,Milk Chocolate,Processing,Marketplace,5,75,3668,1826,6697768,1/21/2026,01/23/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Gym Partner,12,32,3345,3968,13272960,5/7/2026,05/13/2026
Pre-Workout Ignition,Pre-Workout,Watermelon,Returned,Retail Store,1,45,1979,2173,4300367,1/25/2025,01/29/2025
Whey Isolate Elite,Protein Powder,Milk Chocolate,Delivered,Online Store,2,30,1672,4043,6759896,10/29/2025,11/08/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Returned,Gym Partner,0.66,30,1363,665,906395,8/28/2025,09/03/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Online Store,1,45,2373,2878,6829494,4/23/2025,04/28/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Delivered,Marketplace,5,75,3168,679,2151072,12/17/2025,12/20/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Processing,Online Store,2,30,1761,566,996726,5/4/2025,05/09/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Shipped,Retail Store,5,75,3063,3594,11008422,2/3/2026,02/08/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Shipped,Retail Store,6,16,2380,1368,3255840,8/18/2026,08/25/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Returned,Marketplace,1.33,60,2175,4274,9295950,6/9/2026,06/11/2026
Creatine Drive,Creatine,Unflavored,Shipped,Marketplace,0.66,60,806,570,459420,10/14/2026,10/17/2026
Creatine Monohydrate Pure,Creatine,Fruit Punch,Returned,Marketplace,0.66,60,654,3413,2232102,10/3/2025,10/11/2025
Creatine Drive,Creatine,Blue Raspberry,Returned,Online Store,2.2,200,1734,2637,4572558,1/27/2026,01/29/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Shipped,Online Store,12,32,4182,4870,20366340,7/6/2025,07/12/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Cancelled,Marketplace,5,75,3745,2656,9946720,3/19/2026,03/29/2026
Max Pre-Workout,Pre-Workout,Watermelon,Processing,Gym Partner,1.33,60,2335,3059,7142765,1/6/2026,01/08/2026
Creatine Drive,Creatine,Blue Raspberry,Processing,Marketplace,1.1,100,1677,4071,6827067,3/15/2026,03/23/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Marketplace,1.33,60,2265,3063,6937695,10/6/2026,10/16/2026
Max Pre-Workout,Pre-Workout,Watermelon,Returned,Retail Store,1.33,60,1814,1218,2209452,12/4/2025,12/14/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Online Store,1,45,2078,2167,4503026,2/11/2026,02/18/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Returned,Gym Partner,12,32,4099,3344,13707056,6/24/2026,07/02/2026
Whey Isolate Elite,Protein Powder,Unflavored,Shipped,Marketplace,2,30,1516,1660,2516560,9/12/2025,09/21/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Delivered,Marketplace,0.66,60,798,4648,3709104,10/18/2025,10/26/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Cancelled,Marketplace,2,30,1712,3273,5603376,6/7/2025,06/13/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Processing,Online Store,5,75,3315,2809,9311835,9/13/2025,09/22/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Returned,Retail Store,1.1,100,1750,4345,7603750,2/18/2025,02/26/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Delivered,Retail Store,1.1,100,1519,2623,3984337,12/23/2026,12/28/2026
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Processing,Online Store,2,30,1261,3075,3877575,2/15/2026,02/18/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Returned,Retail Store,1.33,60,2304,923,2126592,6/18/2026,06/21/2026
Creatine Drive,Creatine,Unflavored,Returned,Marketplace,1.1,100,1236,1048,1295328,8/10/2026,08/13/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Marketplace,6,16,2115,269,568935,7/8/2025,07/16/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Online Store,1,45,2119,4806,10183914,10/4/2025,10/13/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Delivered,Gym Partner,2.2,200,1213,3769,4571797,7/30/2025,08/09/2025
Creatine Drive,Creatine,Blue Raspberry,Delivered,Online Store,0.66,60,629,614,386206,1/8/2025,01/11/2025
